date,AMZN,AAPL
2022-04-20 16:05:00-04:00,,
2022-04-21 16:05:00-04:00,,
2022-04-22 16:05:00-04:00,,
2022-04-25 16:05:00-04:00,,
2022-04-26 16:05:00-04:00,,
2022-04-27 16:05:00-04:00,,
2022-04-28 16:05:00-04:00,,
2022-04-29 16:05:00-04:00,,
2022-05-02 16:05:00-04:00,,
2022-05-03 16:05:00-04:00,,
2022-05-04 16:05:00-04:00,,
2022-05-05 16:05:00-04:00,,
2022-05-06 16:05:00-04:00,,
2022-05-09 16:05:00-04:00,,
2022-05-10 16:05:00-04:00,,
2022-05-11 16:05:00-04:00,,
2022-05-12 16:05:00-04:00,,
2022-05-13 16:05:00-04:00,,
2022-05-16 16:05:00-04:00,,
2022-05-17 16:05:00-04:00,,
2022-05-18 16:05:00-04:00,,
2022-05-19 16:05:00-04:00,,
2022-05-20 16:05:00-04:00,,
2022-05-23 16:05:00-04:00,,
2022-05-24 16:05:00-04:00,,
2022-05-25 16:05:00-04:00,2.0,-21.0
2022-05-26 16:05:00-04:00,,
2022-05-27 16:05:00-04:00,,
2022-05-31 16:05:00-04:00,,
2022-06-01 16:05:00-04:00,,
2022-06-02 16:05:00-04:00,,
2022-06-03 16:05:00-04:00,,
2022-06-06 16:05:00-04:00,,
2022-06-07 16:05:00-04:00,,
2022-06-08 16:05:00-04:00,,
2022-06-09 16:05:00-04:00,-43.0,21.0
2022-06-10 16:05:00-04:00,,
2022-06-13 16:05:00-04:00,,
2022-06-14 16:05:00-04:00,,
2022-06-15 16:05:00-04:00,,
2022-06-16 16:05:00-04:00,,
2022-06-17 16:05:00-04:00,,
2022-06-21 16:05:00-04:00,,
2022-06-22 16:05:00-04:00,,
2022-06-23 16:05:00-04:00,,
2022-06-24 16:05:00-04:00,-44.0,21.0
2022-06-27 16:05:00-04:00,,
2022-06-28 16:05:00-04:00,,
2022-06-29 16:05:00-04:00,,
2022-06-30 16:05:00-04:00,,
2022-07-01 16:05:00-04:00,,
2022-07-05 16:05:00-04:00,,
2022-07-06 16:05:00-04:00,,
2022-07-07 16:05:00-04:00,,
2022-07-08 16:05:00-04:00,,
2022-07-11 16:05:00-04:00,,
2022-07-12 16:05:00-04:00,,
2022-07-13 16:05:00-04:00,,
2022-07-14 16:05:00-04:00,,
2022-07-15 16:05:00-04:00,,
2022-07-18 16:05:00-04:00,,
2022-07-19 16:05:00-04:00,,
2022-07-20 16:05:00-04:00,,
2022-07-21 16:05:00-04:00,,
2022-07-22 16:05:00-04:00,,
2022-07-25 16:05:00-04:00,,
2022-07-26 16:05:00-04:00,,
2022-07-27 16:05:00-04:00,,
2022-07-28 16:05:00-04:00,,
2022-07-29 16:05:00-04:00,,
2022-08-01 16:05:00-04:00,,
2022-08-02 16:05:00-04:00,38.0,-19.0
2022-08-03 16:05:00-04:00,,
2022-08-04 16:05:00-04:00,,
2022-08-05 16:05:00-04:00,,
2022-08-08 16:05:00-04:00,,
2022-08-09 16:05:00-04:00,,
2022-08-10 16:05:00-04:00,36.0,-18.0
2022-08-11 16:05:00-04:00,,
2022-08-12 16:05:00-04:00,,
2022-08-15 16:05:00-04:00,,
2022-08-16 16:05:00-04:00,,
2022-08-17 16:05:00-04:00,,
2022-08-18 16:05:00-04:00,,
2022-08-19 16:05:00-04:00,,
2022-08-22 16:05:00-04:00,39.0,-18.0
2022-08-23 16:05:00-04:00,,
2022-08-24 16:05:00-04:00,,
2022-08-25 16:05:00-04:00,,
2022-08-26 16:05:00-04:00,,
2022-08-29 16:05:00-04:00,,
2022-08-30 16:05:00-04:00,,
2022-08-31 16:05:00-04:00,,
2022-09-01 16:05:00-04:00,,
2022-09-02 16:05:00-04:00,,
2022-09-06 16:05:00-04:00,,
2022-09-07 16:05:00-04:00,,
2022-09-08 16:05:00-04:00,,
2022-09-09 16:05:00-04:00,,
2022-09-12 16:05:00-04:00,,
2022-09-13 16:05:00-04:00,,
2022-09-14 16:05:00-04:00,,
2022-09-15 16:05:00-04:00,,
2022-09-16 16:05:00-04:00,,
2022-09-19 16:05:00-04:00,,
2022-09-20 16:05:00-04:00,,
2022-09-21 16:05:00-04:00,,
2022-09-22 16:05:00-04:00,,
2022-09-23 16:05:00-04:00,,
2022-09-26 16:05:00-04:00,,
2022-09-27 16:05:00-04:00,,
2022-09-28 16:05:00-04:00,,
2022-09-29 16:05:00-04:00,,
2022-09-30 16:05:00-04:00,,
2022-10-03 16:05:00-04:00,,
2022-10-04 16:05:00-04:00,,
2022-10-05 16:05:00-04:00,,
2022-10-06 16:05:00-04:00,,
2022-10-07 16:05:00-04:00,,
2022-10-10 16:05:00-04:00,,
2022-10-11 16:05:00-04:00,,
2022-10-12 16:05:00-04:00,,
