"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"302";"USDJPY_M1";"Buy";"2015.08.02 21:00:00";"123.902";"0.10000";"2015.08.09 21:00:00";"124.151";"24.90";"11267.90";"IST";"End Of Friday";"-10.20";"116.80";"7d 0h 0m";""
"303";"USDJPY_M1";"Buy";"2015.08.09 23:00:00";"124.296";"0.10000";"2015.08.12 12:00:00";"123.946";"-35.00";"11232.90";"IST";"SL";"-35.00";"98.40";"2d 13h 0m";""
"304";"USDJPY_M1";"Buy";"2015.08.12 19:00:00";"124.177";"0.10000";"2015.08.16 21:00:00";"124.204";"2.70";"11235.60";"IST";"End Of Friday";"-12.30";"44.80";"4d 2h 0m";""
"305";"USDJPY_M1";"Buy";"2015.08.17 01:00:00";"124.412";"0.10000";"2015.08.19 15:00:00";"124.062";"-35.00";"11200.60";"IST";"SL";"-35.00";"16.20";"2d 14h 0m";""
"306";"USDJPY_M1";"Sell";"2015.08.19 17:00:00";"124.067";"0.10000";"2015.08.21 15:00:00";"122.267";"180.00";"11380.60";"IST";"PT";"-10.90";"180.00";"1d 22h 0m";""
"307";"USDJPY_M1";"Buy";"2015.08.21 20:00:00";"122.116";"0.10000";"2015.08.23 21:00:00";"121.841";"-27.50";"11353.10";"IST";"End Of Friday";"-27.50";"8.50";"2d 1h 0m";""
"308";"USDJPY_M1";"Buy";"2015.08.23 21:00:00";"121.861";"0.10000";"2015.08.23 23:00:00";"121.511";"-35.00";"11318.10";"IST";"SL";"-35.00";"16.10";"2h 0m";""
"309";"USDJPY_M1";"Buy";"2015.08.24 00:00:00";"121.753";"0.10000";"2015.08.24 01:00:00";"121.403";"-35.00";"11283.10";"IST";"SL";"-35.00";"17.60";"1h 0m";""
"310";"USDJPY_M1";"Buy";"2015.08.24 02:00:00";"121.357";"0.10000";"2015.08.24 02:00:00";"121.007";"-35.00";"11248.10";"IST";"SL";"-35.00";"0.00";"0s";""
"311";"USDJPY_M1";"Buy";"2015.08.24 03:00:00";"120.911";"0.10000";"2015.08.24 07:00:00";"120.561";"-35.00";"11213.10";"IST";"SL";"-35.00";"36.50";"4h 0m";""
"312";"USDJPY_M1";"Buy";"2015.08.24 08:00:00";"120.426";"0.10000";"2015.08.24 10:00:00";"120.076";"-35.00";"11178.10";"IST";"SL";"-35.00";"28.80";"2h 0m";""
"313";"USDJPY_M1";"Buy";"2015.08.24 11:00:00";"120.142";"0.10000";"2015.08.24 11:00:00";"119.792";"-35.00";"11143.10";"IST";"SL";"-35.00";"5.60";"0s";""
"314";"USDJPY_M1";"Sell";"2015.08.24 16:00:00";"118.657";"0.10000";"2015.08.24 16:00:00";"119.007";"-35.00";"11108.10";"IST";"SL";"-35.00";"19.80";"0s";""
"315";"USDJPY_M1";"Buy";"2015.08.24 19:00:00";"118.381";"0.10000";"2015.08.25 10:00:00";"120.181";"180.00";"11288.10";"IST";"PT";"-13.30";"180.00";"15h 0m";""
"316";"USDJPY_M1";"Buy";"2015.08.25 11:00:00";"120.160";"0.10000";"2015.08.25 12:00:00";"119.810";"-35.00";"11253.10";"IST";"SL";"-35.00";"5.80";"1h 0m";""
"317";"USDJPY_M1";"Buy";"2015.08.26 11:00:00";"119.550";"0.10000";"2015.08.26 14:00:00";"119.200";"-35.00";"11218.10";"IST";"SL";"-35.00";"36.40";"3h 0m";""
"318";"USDJPY_M1";"Sell";"2015.08.26 17:00:00";"119.351";"0.10000";"2015.08.26 17:00:00";"119.701";"-35.00";"11183.10";"IST";"SL";"-35.00";"3.60";"0s";""
"319";"USDJPY_M1";"Sell";"2015.08.27 02:00:00";"120.193";"0.10000";"2015.08.27 07:00:00";"120.543";"-35.00";"11148.10";"IST";"SL";"-35.00";"38.30";"5h 0m";""
"320";"USDJPY_M1";"Sell";"2015.08.27 08:00:00";"120.439";"0.10000";"2015.08.27 14:00:00";"120.789";"-35.00";"11113.10";"IST";"SL";"-35.00";"28.00";"6h 0m";""
"321";"USDJPY_M1";"Sell";"2015.08.27 21:00:00";"121.010";"0.10000";"2015.08.28 15:00:00";"121.360";"-35.00";"11078.10";"IST";"SL";"-35.00";"34.00";"18h 0m";""
"322";"USDJPY_M1";"Sell";"2015.08.31 03:00:00";"121.110";"0.10000";"2015.09.01 20:00:00";"119.310";"180.00";"11258.10";"IST";"PT";"-32.60";"180.00";"1d 17h 0m";""
"323";"USDJPY_M1";"Buy";"2015.09.01 21:00:00";"119.390";"0.10000";"2015.09.04 08:00:00";"119.040";"-35.00";"11223.10";"IST";"SL";"-35.00";"130.70";"2d 11h 0m";""
"324";"USDJPY_M1";"Buy";"2015.09.04 09:00:00";"119.094";"0.10000";"2015.09.04 12:00:00";"118.744";"-35.00";"11188.10";"IST";"SL";"-35.00";"53.40";"3h 0m";""
